Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN2
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN2_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN2
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('layers', ModuleList(
  (0): GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x000001EC9203AEE0>)
  (1): GraphConv(in=16, out=7, normalization=both, activation=None)
)), ('dropout', Dropout(p=0.5, inplace=False))])
===========start training===========
epoch 0 | loss:1.9455 | train_acc:0.1571 | val_acc:0.1260 | test_acc:0.1320
epoch 1 | loss:1.9406 | train_acc:0.2071 | val_acc:0.2000 | test_acc:0.2100
epoch 2 | loss:1.9328 | train_acc:0.5143 | val_acc:0.3720 | test_acc:0.4170
epoch 3 | loss:1.9242 | train_acc:0.6143 | val_acc:0.4060 | test_acc:0.4280
epoch 4 | loss:1.9155 | train_acc:0.6500 | val_acc:0.4100 | test_acc:0.4290
epoch 5 | loss:1.9054 | train_acc:0.6714 | val_acc:0.4460 | test_acc:0.4750
epoch 6 | loss:1.8911 | train_acc:0.7000 | val_acc:0.4740 | test_acc:0.4970
epoch 7 | loss:1.8838 | train_acc:0.7643 | val_acc:0.4840 | test_acc:0.5230
epoch 8 | loss:1.8741 | train_acc:0.7786 | val_acc:0.5140 | test_acc:0.5500
epoch 9 | loss:1.8647 | train_acc:0.7929 | val_acc:0.5320 | test_acc:0.5600
epoch 10 | loss:1.8505 | train_acc:0.8214 | val_acc:0.5360 | test_acc:0.5710
epoch 11 | loss:1.8347 | train_acc:0.8286 | val_acc:0.5460 | test_acc:0.5830
epoch 12 | loss:1.8241 | train_acc:0.8357 | val_acc:0.5600 | test_acc:0.5910
epoch 13 | loss:1.8159 | train_acc:0.8500 | val_acc:0.5740 | test_acc:0.6040
