Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN3_1
dataset:cora
gpu_id:0
lr:0.01
max_epoch:200
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN3_1_seed0/train_output_2022-04-26_net_GCN_epoch_200_alg_GCN3_1
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('layers', ModuleList(
  (0): GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x00000221465ADE50>)
  (1): GraphConv(in=16, out=7, normalization=both, activation=None)
)), ('dropout', Dropout(p=0.5, inplace=False))])
===========start training===========
epoch 0 | loss:1.9804 | train_acc:0.4071 | val_acc:0.3540 | test_acc:0.3730
epoch 1 | loss:1.9749 | train_acc:0.4714 | val_acc:0.4460 | test_acc:0.4480
epoch 2 | loss:1.9674 | train_acc:0.5857 | val_acc:0.4900 | test_acc:0.4890
epoch 3 | loss:1.9584 | train_acc:0.7214 | val_acc:0.4760 | test_acc:0.4950
epoch 4 | loss:1.9494 | train_acc:0.7714 | val_acc:0.5200 | test_acc:0.5400
epoch 5 | loss:1.9391 | train_acc:0.7714 | val_acc:0.5180 | test_acc:0.5450
epoch 6 | loss:1.9246 | train_acc:0.7429 | val_acc:0.5120 | test_acc:0.5300
epoch 7 | loss:1.9171 | train_acc:0.7286 | val_acc:0.5260 | test_acc:0.5380
epoch 8 | loss:1.9076 | train_acc:0.7357 | val_acc:0.5380 | test_acc:0.5440
epoch 9 | loss:1.8978 | train_acc:0.7357 | val_acc:0.5600 | test_acc:0.5550
epoch 10 | loss:1.8834 | train_acc:0.7714 | val_acc:0.5680 | test_acc:0.5670
epoch 11 | loss:1.8672 | train_acc:0.8000 | val_acc:0.5800 | test_acc:0.5840
epoch 12 | loss:1.8564 | train_acc:0.8214 | val_acc:0.5820 | test_acc:0.5940
epoch 13 | loss:1.8477 | train_acc:0.8214 | val_acc:0.5920 | test_acc:0.6080
epoch 14 | loss:1.8322 | train_acc:0.8429 | val_acc:0.5940 | test_acc:0.6130
epoch 15 | loss:1.8177 | train_acc:0.8500 | val_acc:0.6060 | test_acc:0.6190
epoch 16 | loss:1.7991 | train_acc:0.8643 | val_acc:0.5980 | test_acc:0.6240
epoch 17 | loss:1.7971 | train_acc:0.8500 | val_acc:0.6000 | test_acc:0.6240
epoch 18 | loss:1.7534 | train_acc:0.8571 | val_acc:0.6100 | test_acc:0.6270
epoch 19 | loss:1.7484 | train_acc:0.8429 | val_acc:0.6000 | test_acc:0.6440
epoch 20 | loss:1.7402 | train_acc:0.8500 | val_acc:0.5980 | test_acc:0.6410
epoch 21 | loss:1.7197 | train_acc:0.8500 | val_acc:0.6060 | test_acc:0.6450
epoch 22 | loss:1.7011 | train_acc:0.8500 | val_acc:0.6060 | test_acc:0.6410
epoch 23 | loss:1.6992 | train_acc:0.8571 | val_acc:0.6040 | test_acc:0.6410
epoch 24 | loss:1.6785 | train_acc:0.8643 | val_acc:0.6140 | test_acc:0.6430
epoch 25 | loss:1.6741 | train_acc:0.8643 | val_acc:0.6180 | test_acc:0.6490
epoch 26 | loss:1.6365 | train_acc:0.8714 | val_acc:0.6240 | test_acc:0.6560
epoch 27 | loss:1.6261 | train_acc:0.8714 | val_acc:0.6220 | test_acc:0.6610
epoch 28 | loss:1.5962 | train_acc:0.8786 | val_acc:0.6300 | test_acc:0.6670
epoch 29 | loss:1.5951 | train_acc:0.8786 | val_acc:0.6360 | test_acc:0.6730
epoch 30 | loss:1.5707 | train_acc:0.8857 | val_acc:0.6440 | test_acc:0.6730
epoch 31 | loss:1.5522 | train_acc:0.9000 | val_acc:0.6460 | test_acc:0.6740
epoch 32 | loss:1.5302 | train_acc:0.9000 | val_acc:0.6520 | test_acc:0.6770
epoch 33 | loss:1.5000 | train_acc:0.9000 | val_acc:0.6540 | test_acc:0.6850
epoch 34 | loss:1.5048 | train_acc:0.9071 | val_acc:0.6580 | test_acc:0.6890
epoch 35 | loss:1.4513 | train_acc:0.9071 | val_acc:0.6640 | test_acc:0.6930
epoch 36 | loss:1.4515 | train_acc:0.9143 | val_acc:0.6600 | test_acc:0.6970
epoch 37 | loss:1.4522 | train_acc:0.9143 | val_acc:0.6620 | test_acc:0.6990
epoch 38 | loss:1.4315 | train_acc:0.9143 | val_acc:0.6600 | test_acc:0.7000
epoch 39 | loss:1.3971 | train_acc:0.9143 | val_acc:0.6600 | test_acc:0.7010
epoch 40 | loss:1.3972 | train_acc:0.9214 | val_acc:0.6740 | test_acc:0.7050
epoch 41 | loss:1.3778 | train_acc:0.9286 | val_acc:0.6760 | test_acc:0.7100
epoch 42 | loss:1.3462 | train_acc:0.9429 | val_acc:0.6880 | test_acc:0.7170
epoch 43 | loss:1.3385 | train_acc:0.9429 | val_acc:0.6940 | test_acc:0.7260
epoch 44 | loss:1.3079 | train_acc:0.9429 | val_acc:0.6980 | test_acc:0.7310
epoch 45 | loss:1.2837 | train_acc:0.9500 | val_acc:0.7000 | test_acc:0.7320
epoch 46 | loss:1.2751 | train_acc:0.9500 | val_acc:0.7020 | test_acc:0.7330
epoch 47 | loss:1.2511 | train_acc:0.9571 | val_acc:0.7020 | test_acc:0.7330
epoch 48 | loss:1.2445 | train_acc:0.9500 | val_acc:0.7020 | test_acc:0.7300
epoch 49 | loss:1.1947 | train_acc:0.9500 | val_acc:0.7000 | test_acc:0.7330
epoch 50 | loss:1.1794 | train_acc:0.9571 | val_acc:0.7040 | test_acc:0.7290
epoch 51 | loss:1.1792 | train_acc:0.9571 | val_acc:0.7020 | test_acc:0.7300
epoch 52 | loss:1.1684 | train_acc:0.9571 | val_acc:0.7020 | test_acc:0.7310
epoch 53 | loss:1.1079 | train_acc:0.9571 | val_acc:0.7040 | test_acc:0.7320
