Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN4
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN4_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN4
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('dropout', Dropout(p=0.5, inplace=False)), ('network_c1', GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x00000189DF8DAEE0>)), ('network_s1', GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x00000189DF8DAEE0>)), ('network_c2', GraphConv(in=16, out=16, normalization=both, activation=<function relu at 0x00000189DF8DAEE0>)), ('network_s2', GraphConv(in=16, out=16, normalization=both, activation=<function relu at 0x00000189DF8DAEE0>)), ('network_c3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x00000189DF8DAEE0>)), ('network_s3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x00000189DF8DAEE0>))])
===========start training===========
epoch 0 | loss:1.9811 | train_acc:0.1429 | val_acc:0.1220 | test_acc:0.1300
epoch 1 | loss:1.9802 | train_acc:0.1929 | val_acc:0.1340 | test_acc:0.1540
epoch 2 | loss:1.9803 | train_acc:0.2357 | val_acc:0.2220 | test_acc:0.2240
epoch 3 | loss:1.9757 | train_acc:0.2571 | val_acc:0.2060 | test_acc:0.2010
epoch 4 | loss:1.9769 | train_acc:0.3000 | val_acc:0.2180 | test_acc:0.2120
epoch 5 | loss:1.9739 | train_acc:0.3643 | val_acc:0.2440 | test_acc:0.2520
epoch 6 | loss:1.9667 | train_acc:0.4286 | val_acc:0.2740 | test_acc:0.2730
epoch 7 | loss:1.9645 | train_acc:0.4071 | val_acc:0.2720 | test_acc:0.2750
epoch 8 | loss:1.9617 | train_acc:0.4286 | val_acc:0.2640 | test_acc:0.2770
epoch 9 | loss:1.9523 | train_acc:0.4214 | val_acc:0.2800 | test_acc:0.3040
epoch 10 | loss:1.9528 | train_acc:0.4929 | val_acc:0.3380 | test_acc:0.3590
epoch 11 | loss:1.9443 | train_acc:0.5143 | val_acc:0.3620 | test_acc:0.4060
epoch 12 | loss:1.9330 | train_acc:0.5214 | val_acc:0.3900 | test_acc:0.4360
epoch 13 | loss:1.9239 | train_acc:0.5286 | val_acc:0.4240 | test_acc:0.4650
epoch 14 | loss:1.9313 | train_acc:0.5143 | val_acc:0.4280 | test_acc:0.4650
epoch 15 | loss:1.9038 | train_acc:0.5214 | val_acc:0.4100 | test_acc:0.4540
epoch 16 | loss:1.8900 | train_acc:0.5286 | val_acc:0.4100 | test_acc:0.4580
epoch 17 | loss:1.8837 | train_acc:0.5500 | val_acc:0.3980 | test_acc:0.4580
epoch 18 | loss:1.8810 | train_acc:0.5643 | val_acc:0.4000 | test_acc:0.4600
epoch 19 | loss:1.8602 | train_acc:0.5929 | val_acc:0.4100 | test_acc:0.4760
epoch 20 | loss:1.8395 | train_acc:0.6214 | val_acc:0.4240 | test_acc:0.4880
epoch 21 | loss:1.8271 | train_acc:0.6429 | val_acc:0.4440 | test_acc:0.4960
epoch 22 | loss:1.8066 | train_acc:0.6357 | val_acc:0.4720 | test_acc:0.5080
epoch 23 | loss:1.7897 | train_acc:0.6357 | val_acc:0.4800 | test_acc:0.5190
epoch 24 | loss:1.7693 | train_acc:0.6357 | val_acc:0.4880 | test_acc:0.5230
epoch 25 | loss:1.7148 | train_acc:0.6500 | val_acc:0.5000 | test_acc:0.5330
epoch 26 | loss:1.6988 | train_acc:0.6500 | val_acc:0.5140 | test_acc:0.5510
epoch 27 | loss:1.7039 | train_acc:0.6571 | val_acc:0.5240 | test_acc:0.5620
epoch 28 | loss:1.6615 | train_acc:0.6643 | val_acc:0.5200 | test_acc:0.5650
epoch 29 | loss:1.6492 | train_acc:0.6643 | val_acc:0.5280 | test_acc:0.5660
epoch 30 | loss:1.5954 | train_acc:0.6714 | val_acc:0.5240 | test_acc:0.5650
epoch 31 | loss:1.6129 | train_acc:0.6714 | val_acc:0.5420 | test_acc:0.5690
epoch 32 | loss:1.5255 | train_acc:0.6786 | val_acc:0.5440 | test_acc:0.5760
epoch 33 | loss:1.5148 | train_acc:0.6786 | val_acc:0.5600 | test_acc:0.5830
epoch 34 | loss:1.5007 | train_acc:0.6786 | val_acc:0.5680 | test_acc:0.5950
epoch 35 | loss:1.4667 | train_acc:0.6786 | val_acc:0.5660 | test_acc:0.5970
epoch 36 | loss:1.4337 | train_acc:0.6857 | val_acc:0.5620 | test_acc:0.5830
epoch 37 | loss:1.3979 | train_acc:0.6857 | val_acc:0.5560 | test_acc:0.5810
epoch 38 | loss:1.3820 | train_acc:0.6857 | val_acc:0.5540 | test_acc:0.5840
epoch 39 | loss:1.3624 | train_acc:0.6929 | val_acc:0.5800 | test_acc:0.6000
epoch 40 | loss:1.3144 | train_acc:0.6929 | val_acc:0.5860 | test_acc:0.6100
epoch 41 | loss:1.3129 | train_acc:0.6929 | val_acc:0.5900 | test_acc:0.6070
epoch 42 | loss:1.2891 | train_acc:0.6929 | val_acc:0.5780 | test_acc:0.6000
epoch 43 | loss:1.2895 | train_acc:0.6929 | val_acc:0.5660 | test_acc:0.5960
epoch 44 | loss:1.2375 | train_acc:0.6929 | val_acc:0.5700 | test_acc:0.5990
epoch 45 | loss:1.2469 | train_acc:0.6929 | val_acc:0.5820 | test_acc:0.6000
epoch 46 | loss:1.1855 | train_acc:0.6929 | val_acc:0.5840 | test_acc:0.6070
epoch 47 | loss:1.1817 | train_acc:0.6929 | val_acc:0.5900 | test_acc:0.6080
epoch 48 | loss:1.1350 | train_acc:0.6929 | val_acc:0.5900 | test_acc:0.6060
epoch 49 | loss:1.1529 | train_acc:0.6929 | val_acc:0.5800 | test_acc:0.6010
epoch 50 | loss:1.1153 | train_acc:0.7071 | val_acc:0.5820 | test_acc:0.5980
epoch 51 | loss:1.1767 | train_acc:0.7071 | val_acc:0.5700 | test_acc:0.5940
epoch 52 | loss:1.1259 | train_acc:0.7071 | val_acc:0.5760 | test_acc:0.5960
epoch 53 | loss:1.0895 | train_acc:0.7071 | val_acc:0.5900 | test_acc:0.6040
epoch 54 | loss:1.0573 | train_acc:0.7071 | val_acc:0.5960 | test_acc:0.6070
epoch 55 | loss:1.0520 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6090
epoch 56 | loss:1.0640 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6110
epoch 57 | loss:1.0206 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6070
epoch 58 | loss:1.0318 | train_acc:0.7143 | val_acc:0.5840 | test_acc:0.6000
epoch 59 | loss:0.9943 | train_acc:0.7143 | val_acc:0.5820 | test_acc:0.5960
epoch 60 | loss:0.9671 | train_acc:0.7143 | val_acc:0.5820 | test_acc:0.5920
epoch 61 | loss:0.9616 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6030
epoch 62 | loss:0.9641 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6100
epoch 63 | loss:0.9924 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6100
epoch 64 | loss:0.9486 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6130
epoch 65 | loss:0.9642 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6070
epoch 66 | loss:0.9050 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6010
epoch 67 | loss:0.9898 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6010
epoch 68 | loss:0.9331 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6060
epoch 69 | loss:0.9328 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6070
epoch 70 | loss:0.9524 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6080
epoch 71 | loss:0.9231 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6070
epoch 72 | loss:0.9197 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6040
epoch 73 | loss:0.9049 | train_acc:0.7143 | val_acc:0.5840 | test_acc:0.6050
epoch 74 | loss:0.8902 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6020
epoch 75 | loss:0.8875 | train_acc:0.7143 | val_acc:0.5860 | test_acc:0.6010
epoch 76 | loss:0.8936 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6060
epoch 77 | loss:0.8841 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6050
epoch 78 | loss:0.9070 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6060
epoch 79 | loss:0.8922 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6040
epoch 80 | loss:0.8501 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6040
epoch 81 | loss:0.8744 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6040
epoch 82 | loss:0.8887 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6100
epoch 83 | loss:0.8527 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6110
epoch 84 | loss:0.8711 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6090
epoch 85 | loss:0.8819 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6030
epoch 86 | loss:0.8783 | train_acc:0.7143 | val_acc:0.5860 | test_acc:0.6040
epoch 87 | loss:0.8265 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6010
epoch 88 | loss:0.8658 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6040
epoch 89 | loss:0.8641 | train_acc:0.7143 | val_acc:0.6040 | test_acc:0.6130
epoch 90 | loss:0.8653 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6180
epoch 91 | loss:0.8518 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6170
epoch 92 | loss:0.8311 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6100
epoch 93 | loss:0.8594 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6060
epoch 94 | loss:0.8288 | train_acc:0.7143 | val_acc:0.5820 | test_acc:0.5970
epoch 95 | loss:0.8750 | train_acc:0.7143 | val_acc:0.5840 | test_acc:0.6050
epoch 96 | loss:0.8901 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6080
epoch 97 | loss:0.8265 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6170
epoch 98 | loss:0.7716 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6180
epoch 99 | loss:0.8569 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6190
epoch 100 | loss:0.8359 | train_acc:0.7143 | val_acc:0.6040 | test_acc:0.6120
epoch 101 | loss:0.8605 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6060
epoch 102 | loss:0.8015 | train_acc:0.7143 | val_acc:0.5860 | test_acc:0.6090
epoch 103 | loss:0.8215 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6090
epoch 104 | loss:0.8019 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6140
epoch 105 | loss:0.7797 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6160
epoch 106 | loss:0.8003 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6210
epoch 107 | loss:0.7940 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6120
epoch 108 | loss:0.8090 | train_acc:0.7143 | val_acc:0.6020 | test_acc:0.6100
epoch 109 | loss:0.8216 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6090
epoch 110 | loss:0.7885 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6080
epoch 111 | loss:0.8286 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6090
epoch 112 | loss:0.8480 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6120
epoch 113 | loss:0.8317 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6110
epoch 114 | loss:0.7932 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6110
epoch 115 | loss:0.8077 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6090
epoch 116 | loss:0.8081 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6090
epoch 117 | loss:0.8080 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6120
epoch 118 | loss:0.7744 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6130
epoch 119 | loss:0.8207 | train_acc:0.7143 | val_acc:0.5880 | test_acc:0.6090
epoch 120 | loss:0.7964 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6080
epoch 121 | loss:0.7951 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6080
epoch 122 | loss:0.7904 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6110
epoch 123 | loss:0.7839 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6150
epoch 124 | loss:0.7670 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6160
epoch 125 | loss:0.7640 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6180
epoch 126 | loss:0.8036 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6160
epoch 127 | loss:0.7574 | train_acc:0.7143 | val_acc:0.6000 | test_acc:0.6140
epoch 128 | loss:0.7962 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6150
epoch 129 | loss:0.7808 | train_acc:0.7143 | val_acc:0.5980 | test_acc:0.6140
epoch 130 | loss:0.7643 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6140
epoch 131 | loss:0.7920 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6150
epoch 132 | loss:0.7395 | train_acc:0.7143 | val_acc:0.5860 | test_acc:0.6090
epoch 133 | loss:0.8109 | train_acc:0.7143 | val_acc:0.5880 | test_acc:0.6090
epoch 134 | loss:0.7792 | train_acc:0.7143 | val_acc:0.5860 | test_acc:0.6080
epoch 135 | loss:0.7985 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6100
epoch 136 | loss:0.7388 | train_acc:0.7143 | val_acc:0.5960 | test_acc:0.6090
epoch 137 | loss:0.7664 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6080
epoch 138 | loss:0.7631 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6100
epoch 139 | loss:0.7744 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6110
epoch 140 | loss:0.7545 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6120
epoch 141 | loss:0.7932 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6120
epoch 142 | loss:0.7815 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6100
epoch 143 | loss:0.7527 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6090
epoch 144 | loss:0.7700 | train_acc:0.7143 | val_acc:0.5880 | test_acc:0.6080
epoch 145 | loss:0.7464 | train_acc:0.7143 | val_acc:0.5880 | test_acc:0.6110
epoch 146 | loss:0.7904 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6100
epoch 147 | loss:0.7883 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6110
epoch 148 | loss:0.7550 | train_acc:0.7143 | val_acc:0.5900 | test_acc:0.6100
epoch 149 | loss:0.7778 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6090
epoch 150 | loss:0.7756 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6130
epoch 151 | loss:0.7659 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6120
epoch 152 | loss:0.7383 | train_acc:0.7143 | val_acc:0.5920 | test_acc:0.6110
epoch 153 | loss:0.7572 | train_acc:0.7143 | val_acc:0.5940 | test_acc:0.6100
