Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN6
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN6_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN6
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('dropout', Dropout(p=0.5, inplace=False)), ('network_c1', GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x000002121FBBF160>)), ('network_s1', GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x000002121FBBF160>)), ('network_c3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x000002121FBBF160>)), ('network_s3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x000002121FBBF160>))])
===========start training===========
epoch 0 | loss:1.9806 | train_acc:0.1500 | val_acc:0.1220 | test_acc:0.1290
epoch 1 | loss:1.9782 | train_acc:0.1643 | val_acc:0.1260 | test_acc:0.1360
epoch 2 | loss:1.9754 | train_acc:0.2857 | val_acc:0.1820 | test_acc:0.1910
epoch 3 | loss:1.9709 | train_acc:0.4786 | val_acc:0.4040 | test_acc:0.4450
epoch 4 | loss:1.9643 | train_acc:0.4786 | val_acc:0.4680 | test_acc:0.4890
epoch 5 | loss:1.9572 | train_acc:0.4929 | val_acc:0.4700 | test_acc:0.4970
epoch 6 | loss:1.9531 | train_acc:0.4929 | val_acc:0.4480 | test_acc:0.4770
epoch 7 | loss:1.9449 | train_acc:0.4857 | val_acc:0.4200 | test_acc:0.4580
epoch 8 | loss:1.9400 | train_acc:0.5214 | val_acc:0.4380 | test_acc:0.4690
epoch 9 | loss:1.9275 | train_acc:0.5786 | val_acc:0.4920 | test_acc:0.5090
epoch 10 | loss:1.9200 | train_acc:0.6357 | val_acc:0.5320 | test_acc:0.5460
epoch 11 | loss:1.9108 | train_acc:0.6643 | val_acc:0.5660 | test_acc:0.5860
epoch 12 | loss:1.8987 | train_acc:0.7000 | val_acc:0.6000 | test_acc:0.6150
epoch 13 | loss:1.8891 | train_acc:0.7000 | val_acc:0.6100 | test_acc:0.6170
epoch 14 | loss:1.8796 | train_acc:0.7143 | val_acc:0.6140 | test_acc:0.6230
epoch 15 | loss:1.8659 | train_acc:0.7214 | val_acc:0.6140 | test_acc:0.6220
epoch 16 | loss:1.8529 | train_acc:0.7214 | val_acc:0.6120 | test_acc:0.6230
epoch 17 | loss:1.8443 | train_acc:0.7286 | val_acc:0.6160 | test_acc:0.6270
epoch 18 | loss:1.8271 | train_acc:0.7286 | val_acc:0.6140 | test_acc:0.6260
epoch 19 | loss:1.8237 | train_acc:0.7357 | val_acc:0.6200 | test_acc:0.6320
epoch 20 | loss:1.8026 | train_acc:0.7429 | val_acc:0.6300 | test_acc:0.6400
epoch 21 | loss:1.7858 | train_acc:0.7571 | val_acc:0.6380 | test_acc:0.6490
epoch 22 | loss:1.7734 | train_acc:0.7643 | val_acc:0.6360 | test_acc:0.6540
epoch 23 | loss:1.7583 | train_acc:0.7643 | val_acc:0.6500 | test_acc:0.6670
epoch 24 | loss:1.7558 | train_acc:0.7714 | val_acc:0.6700 | test_acc:0.6760
epoch 25 | loss:1.7128 | train_acc:0.7714 | val_acc:0.6780 | test_acc:0.6790
epoch 26 | loss:1.7136 | train_acc:0.7714 | val_acc:0.6780 | test_acc:0.6840
