Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN7
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN7_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN7
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('dropout', Dropout(p=0.5, inplace=False)), ('network_c1', GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x0000022A25851160>)), ('network_s1', GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x0000022A25851160>)), ('network_c3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x0000022A25851160>)), ('network_s3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x0000022A25851160>))])
===========start training===========
epoch 0 | loss:1.9808 | train_acc:0.1500 | val_acc:0.1220 | test_acc:0.1290
epoch 1 | loss:1.9783 | train_acc:0.1571 | val_acc:0.1280 | test_acc:0.1350
epoch 2 | loss:1.9753 | train_acc:0.2786 | val_acc:0.1780 | test_acc:0.1880
epoch 3 | loss:1.9714 | train_acc:0.4429 | val_acc:0.3240 | test_acc:0.3530
epoch 4 | loss:1.9670 | train_acc:0.4643 | val_acc:0.4560 | test_acc:0.4710
epoch 5 | loss:1.9622 | train_acc:0.4857 | val_acc:0.4740 | test_acc:0.4920
epoch 6 | loss:1.9568 | train_acc:0.4929 | val_acc:0.4680 | test_acc:0.4940
epoch 7 | loss:1.9514 | train_acc:0.4714 | val_acc:0.4340 | test_acc:0.4620
epoch 8 | loss:1.9486 | train_acc:0.4786 | val_acc:0.4300 | test_acc:0.4610
epoch 9 | loss:1.9420 | train_acc:0.5071 | val_acc:0.4740 | test_acc:0.4870
epoch 10 | loss:1.9356 | train_acc:0.5214 | val_acc:0.5160 | test_acc:0.5170
epoch 11 | loss:1.9289 | train_acc:0.5429 | val_acc:0.5340 | test_acc:0.5400
epoch 12 | loss:1.9239 | train_acc:0.5786 | val_acc:0.5400 | test_acc:0.5570
epoch 13 | loss:1.9147 | train_acc:0.5786 | val_acc:0.5180 | test_acc:0.5410
epoch 14 | loss:1.9090 | train_acc:0.5786 | val_acc:0.5120 | test_acc:0.5360
epoch 15 | loss:1.8996 | train_acc:0.5714 | val_acc:0.5100 | test_acc:0.5330
epoch 16 | loss:1.8924 | train_acc:0.5786 | val_acc:0.5180 | test_acc:0.5370
epoch 17 | loss:1.8851 | train_acc:0.5857 | val_acc:0.5320 | test_acc:0.5510
epoch 18 | loss:1.8788 | train_acc:0.5857 | val_acc:0.5480 | test_acc:0.5630
epoch 19 | loss:1.8729 | train_acc:0.6000 | val_acc:0.5560 | test_acc:0.5750
epoch 20 | loss:1.8639 | train_acc:0.6143 | val_acc:0.5680 | test_acc:0.5820
epoch 21 | loss:1.8560 | train_acc:0.6357 | val_acc:0.5860 | test_acc:0.5970
epoch 22 | loss:1.8423 | train_acc:0.6500 | val_acc:0.5980 | test_acc:0.6120
epoch 23 | loss:1.8404 | train_acc:0.6571 | val_acc:0.6120 | test_acc:0.6260
epoch 24 | loss:1.8350 | train_acc:0.6571 | val_acc:0.6120 | test_acc:0.6270
epoch 25 | loss:1.8137 | train_acc:0.6786 | val_acc:0.6180 | test_acc:0.6300
epoch 26 | loss:1.8142 | train_acc:0.6786 | val_acc:0.6240 | test_acc:0.6300
epoch 27 | loss:1.8049 | train_acc:0.6786 | val_acc:0.6320 | test_acc:0.6320
epoch 28 | loss:1.7933 | train_acc:0.6786 | val_acc:0.6400 | test_acc:0.6330
epoch 29 | loss:1.7866 | train_acc:0.6857 | val_acc:0.6480 | test_acc:0.6440
epoch 30 | loss:1.7770 | train_acc:0.6786 | val_acc:0.6600 | test_acc:0.6490
epoch 31 | loss:1.7697 | train_acc:0.6786 | val_acc:0.6660 | test_acc:0.6560
epoch 32 | loss:1.7562 | train_acc:0.6786 | val_acc:0.6640 | test_acc:0.6600
epoch 33 | loss:1.7451 | train_acc:0.6786 | val_acc:0.6640 | test_acc:0.6610
epoch 34 | loss:1.7371 | train_acc:0.6786 | val_acc:0.6700 | test_acc:0.6590
epoch 35 | loss:1.7371 | train_acc:0.6786 | val_acc:0.6680 | test_acc:0.6560
epoch 36 | loss:1.7255 | train_acc:0.6857 | val_acc:0.6640 | test_acc:0.6580
epoch 37 | loss:1.7223 | train_acc:0.6857 | val_acc:0.6580 | test_acc:0.6580
epoch 38 | loss:1.7070 | train_acc:0.6857 | val_acc:0.6560 | test_acc:0.6590
epoch 39 | loss:1.6811 | train_acc:0.6857 | val_acc:0.6640 | test_acc:0.6590
epoch 40 | loss:1.6735 | train_acc:0.6857 | val_acc:0.6660 | test_acc:0.6620
epoch 41 | loss:1.6802 | train_acc:0.6857 | val_acc:0.6680 | test_acc:0.6670
epoch 42 | loss:1.6717 | train_acc:0.6857 | val_acc:0.6700 | test_acc:0.6690
epoch 43 | loss:1.6531 | train_acc:0.6857 | val_acc:0.6760 | test_acc:0.6740
epoch 44 | loss:1.6578 | train_acc:0.6857 | val_acc:0.6780 | test_acc:0.6780
epoch 45 | loss:1.6441 | train_acc:0.6857 | val_acc:0.6820 | test_acc:0.6810
epoch 46 | loss:1.6344 | train_acc:0.6857 | val_acc:0.6840 | test_acc:0.6860
epoch 47 | loss:1.6201 | train_acc:0.6857 | val_acc:0.6860 | test_acc:0.6840
epoch 48 | loss:1.6182 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6810
epoch 49 | loss:1.6119 | train_acc:0.6929 | val_acc:0.6880 | test_acc:0.6800
epoch 50 | loss:1.5887 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6800
epoch 51 | loss:1.6003 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6790
epoch 52 | loss:1.6008 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6780
epoch 53 | loss:1.5843 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6780
epoch 54 | loss:1.5792 | train_acc:0.6929 | val_acc:0.6920 | test_acc:0.6820
epoch 55 | loss:1.5760 | train_acc:0.6929 | val_acc:0.6880 | test_acc:0.6800
epoch 56 | loss:1.5406 | train_acc:0.6929 | val_acc:0.6880 | test_acc:0.6780
epoch 57 | loss:1.5610 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6750
epoch 58 | loss:1.5354 | train_acc:0.6929 | val_acc:0.6840 | test_acc:0.6780
epoch 59 | loss:1.5154 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6800
epoch 60 | loss:1.5310 | train_acc:0.6929 | val_acc:0.6880 | test_acc:0.6800
epoch 61 | loss:1.5278 | train_acc:0.6929 | val_acc:0.6880 | test_acc:0.6770
epoch 62 | loss:1.5345 | train_acc:0.6929 | val_acc:0.6880 | test_acc:0.6780
epoch 63 | loss:1.5212 | train_acc:0.6929 | val_acc:0.6860 | test_acc:0.6810
epoch 64 | loss:1.5028 | train_acc:0.7000 | val_acc:0.6920 | test_acc:0.6790
epoch 65 | loss:1.5115 | train_acc:0.7000 | val_acc:0.6900 | test_acc:0.6800
epoch 66 | loss:1.4952 | train_acc:0.7000 | val_acc:0.6920 | test_acc:0.6810
epoch 67 | loss:1.4934 | train_acc:0.7000 | val_acc:0.6960 | test_acc:0.6830
epoch 68 | loss:1.4656 | train_acc:0.7000 | val_acc:0.6960 | test_acc:0.6860
epoch 69 | loss:1.4896 | train_acc:0.7000 | val_acc:0.7020 | test_acc:0.6870
epoch 70 | loss:1.4724 | train_acc:0.7000 | val_acc:0.7040 | test_acc:0.6880
epoch 71 | loss:1.4720 | train_acc:0.7000 | val_acc:0.7040 | test_acc:0.6880
epoch 72 | loss:1.4643 | train_acc:0.7000 | val_acc:0.7040 | test_acc:0.6880
epoch 73 | loss:1.4533 | train_acc:0.7000 | val_acc:0.7060 | test_acc:0.6870
epoch 74 | loss:1.4376 | train_acc:0.7000 | val_acc:0.7040 | test_acc:0.6860
epoch 75 | loss:1.4284 | train_acc:0.7000 | val_acc:0.6980 | test_acc:0.6860
epoch 76 | loss:1.4421 | train_acc:0.7000 | val_acc:0.6960 | test_acc:0.6870
epoch 77 | loss:1.4346 | train_acc:0.7000 | val_acc:0.6960 | test_acc:0.6830
epoch 78 | loss:1.4406 | train_acc:0.7000 | val_acc:0.6960 | test_acc:0.6820
epoch 79 | loss:1.4247 | train_acc:0.7000 | val_acc:0.6960 | test_acc:0.6820
epoch 80 | loss:1.4015 | train_acc:0.7000 | val_acc:0.6980 | test_acc:0.6840
epoch 81 | loss:1.4229 | train_acc:0.7000 | val_acc:0.6980 | test_acc:0.6850
epoch 82 | loss:1.4188 | train_acc:0.7071 | val_acc:0.7060 | test_acc:0.6920
epoch 83 | loss:1.4002 | train_acc:0.7071 | val_acc:0.7080 | test_acc:0.6910
epoch 84 | loss:1.4228 | train_acc:0.7071 | val_acc:0.7080 | test_acc:0.6890
epoch 85 | loss:1.3882 | train_acc:0.7071 | val_acc:0.7120 | test_acc:0.6900
epoch 86 | loss:1.4059 | train_acc:0.7071 | val_acc:0.7100 | test_acc:0.6890
epoch 87 | loss:1.4067 | train_acc:0.7071 | val_acc:0.7080 | test_acc:0.6850
epoch 88 | loss:1.4082 | train_acc:0.7000 | val_acc:0.7020 | test_acc:0.6850
epoch 89 | loss:1.4032 | train_acc:0.7071 | val_acc:0.7000 | test_acc:0.6870
