Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN8
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN8_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN8
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('dropout', Dropout(p=0.5, inplace=False)), ('network_in', GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x000001C3268300D0>)), ('network_c3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x000001C3268300D0>)), ('network_s3', GraphConv(in=16, out=7, normalization=both, activation=<function relu at 0x000001C3268300D0>))])
===========start training===========
epoch 0 | loss:1.9807 | train_acc:0.2000 | val_acc:0.1220 | test_acc:0.1370
epoch 1 | loss:1.9780 | train_acc:0.4429 | val_acc:0.2080 | test_acc:0.2440
epoch 2 | loss:1.9747 | train_acc:0.4429 | val_acc:0.1900 | test_acc:0.2280
epoch 3 | loss:1.9708 | train_acc:0.4643 | val_acc:0.2260 | test_acc:0.2630
epoch 4 | loss:1.9661 | train_acc:0.5643 | val_acc:0.2840 | test_acc:0.3100
epoch 5 | loss:1.9620 | train_acc:0.6286 | val_acc:0.3360 | test_acc:0.3290
epoch 6 | loss:1.9543 | train_acc:0.6214 | val_acc:0.3280 | test_acc:0.3100
epoch 7 | loss:1.9509 | train_acc:0.6071 | val_acc:0.3220 | test_acc:0.3110
epoch 8 | loss:1.9430 | train_acc:0.6071 | val_acc:0.3120 | test_acc:0.2980
epoch 9 | loss:1.9380 | train_acc:0.6071 | val_acc:0.3160 | test_acc:0.3040
epoch 10 | loss:1.9344 | train_acc:0.6000 | val_acc:0.3340 | test_acc:0.3220
epoch 11 | loss:1.9262 | train_acc:0.6143 | val_acc:0.3260 | test_acc:0.3240
epoch 12 | loss:1.9161 | train_acc:0.5929 | val_acc:0.3300 | test_acc:0.3310
epoch 13 | loss:1.9079 | train_acc:0.5929 | val_acc:0.3340 | test_acc:0.3380
epoch 14 | loss:1.9012 | train_acc:0.6214 | val_acc:0.3440 | test_acc:0.3510
epoch 15 | loss:1.8924 | train_acc:0.6429 | val_acc:0.3600 | test_acc:0.3630
epoch 16 | loss:1.8866 | train_acc:0.6500 | val_acc:0.3720 | test_acc:0.3730
epoch 17 | loss:1.8707 | train_acc:0.6500 | val_acc:0.3740 | test_acc:0.3830
epoch 18 | loss:1.8669 | train_acc:0.6643 | val_acc:0.3740 | test_acc:0.3860
epoch 19 | loss:1.8546 | train_acc:0.6643 | val_acc:0.3760 | test_acc:0.3860
epoch 20 | loss:1.8375 | train_acc:0.6714 | val_acc:0.3760 | test_acc:0.3850
epoch 21 | loss:1.8292 | train_acc:0.6714 | val_acc:0.3740 | test_acc:0.3770
epoch 22 | loss:1.8295 | train_acc:0.6714 | val_acc:0.3760 | test_acc:0.3800
epoch 23 | loss:1.8049 | train_acc:0.6714 | val_acc:0.3740 | test_acc:0.3790
